t,expiry,raw,alpha,spot,fund,tt,spot_at_expiry,real_pct
2026-04-22 03:00:00+00:00,2026-04-24 12:00:00+00:00,0.07298540555761099,0.04068253176840311,77490.99445006,-0.0496364,57.0,78192.98240212,0.9058961716027693
2026-04-22 04:00:00+00:00,2026-04-24 12:00:00+00:00,0.024947292943211033,-0.006935673525973398,77528.1172351,-0.04986612,56.0,78192.98240212,0.8575794056804398
2026-04-22 05:00:00+00:00,2026-04-24 12:00:00+00:00,0.7418732321869708,0.7150479619094572,77442.77630106,-0.04271961,55.0,78192.98240212,0.9687231487460664
2026-04-22 06:00:00+00:00,2026-04-24 12:00:00+00:00,0.12659652707237737,0.10212975910437411,77931.45815019,-0.03968568,54.0,78192.98240212,0.33558239270462126
2026-04-22 07:00:00+00:00,2026-04-24 12:00:00+00:00,0.11091201863339646,0.08521426287363536,77949.04245298,-0.04246857,53.0,78192.98240212,0.31294797403978253
2026-04-22 08:00:00+00:00,2026-04-24 12:00:00+00:00,0.01000395106252173,-0.01850232627323364,78023.25212524,-0.04801527,52.0,78192.98240212,0.2175380700711569
2026-04-22 09:00:00+00:00,2026-04-24 12:00:00+00:00,0.10751511967390932,0.07701330717296406,77940.29955429,-0.05238336,51.0,78192.98240212,0.32420050894722674
2026-04-22 10:00:00+00:00,2026-04-24 12:00:00+00:00,0.22924199550108823,0.20095144767655446,78002.67683028,-0.04955803,49.99999999999999,78192.98240212,0.24397312960691125
2026-04-22 11:00:00+00:00,2026-04-24 12:00:00+00:00,0.23447451123747026,0.20738860519787633,78137.87707801,-0.04841641,49.0,78192.98240212,0.0705231907631513
2026-04-22 12:00:00+00:00,2026-04-24 12:00:00+00:00,0.016688639361041778,-0.008902744264013052,78238.16766914,-0.0466983,48.0,78192.98240212,-0.05775348319900017
2026-04-22 13:00:00+00:00,2026-04-24 12:00:00+00:00,0.872837724090615,0.8412685400173999,78175.83653948,-0.0588303,47.0,78192.98240212,0.021932432576323196
2026-04-22 14:00:00+00:00,2026-04-24 12:00:00+00:00,0.3976716913507261,0.3692315926701284,78743.96310846,-0.05415214,46.0,78192.98240212,-0.6997116789525639
2026-04-22 15:00:00+00:00,2026-04-24 12:00:00+00:00,0.43027412484471017,0.40171607863278913,78956.73047795,-0.05558506,45.0,78192.98240212,-0.9672995211513766
2026-04-22 16:00:00+00:00,2026-04-24 12:00:00+00:00,-0.6458660581439188,-0.6682095338353717,79276.77784252,-0.04447886,44.0,78192.98240212,-1.367103292912465
2026-04-22 17:00:00+00:00,2026-04-24 12:00:00+00:00,0.22205519173930557,0.19795680658139053,78748.62735715,-0.04908754,43.0,78192.98240212,-0.7055931940374985
